ons,Conservative,Labour,LibDem
W07000049,Challenger,Open,Challenger
W07000058,Incumbent,Challenger,Challenger
S14000001,Challenger,Open,Challenger
S14000002,Challenger,Incumbent,Challenger
S14000058,Challenger,Challenger,Incumbent
S14000003,Challenger,Incumbent,Challenger
E14000530,Incumbent,Challenger,Challenger
E14000531,Open,Challenger,Challenger
E14000532,Incumbent,Challenger,Challenger
W07000043,Challenger,Incumbent,Challenger
E14000533,Incumbent,Challenger,Challenger
S14000004,Challenger,Challenger,Challenger
W07000057,Challenger,Challenger,Challenger
S14000005,Challenger,Challenger,Incumbent
E14000534,Incumbent,Challenger,Challenger
E14000535,Challenger,Incumbent,Challenger
E14000536,Incumbent,Challenger,Challenger
E14000537,Challenger,Open,Challenger
E14000538,Incumbent,Challenger,Challenger
S14000006,Challenger,Incumbent,Challenger
S14000010,Challenger,Incumbent,Challenger
S14000048,Challenger,Incumbent,Challenger
E14000539,Open,Challenger,Challenger
S14000007,Challenger,Challenger,Challenger
E14000540,Challenger,Incumbent,Challenger
E14000541,Challenger,Incumbent,Challenger
E14000542,Challenger,Incumbent,Challenger
E14000543,Challenger,Incumbent,Challenger
E14000544,Incumbent,Challenger,Challenger
E14000933,Incumbent,Challenger,Challenger
E14000545,Incumbent,Challenger,Challenger
E14000546,Challenger,Incumbent,Challenger
E14000547,Challenger,Challenger,Open
E14000548,Challenger,Open,Challenger
E14000549,Incumbent,Challenger,Challenger
E14000550,Incumbent,Challenger,Challenger
E14000551,Incumbent,Challenger,Challenger
E14000552,Incumbent,Challenger,Challenger
E14000813,Incumbent,Challenger,Challenger
E14000841,Incumbent,Challenger,Challenger
E14000949,Incumbent,Challenger,Challenger
E14000553,Challenger,Challenger,Incumbent
E14000554,Challenger,Challenger,Open
S14000008,Challenger,Challenger,Incumbent
E14000555,Challenger,Incumbent,Challenger
E14000556,Incumbent,Challenger,Challenger
E14000557,Open,Challenger,Challenger
E14000558,Incumbent,Challenger,Challenger
E14000559,Challenger,Incumbent,Challenger
E14000560,Challenger,Incumbent,Challenger
E14000561,Challenger,Incumbent,Challenger
E14000562,Challenger,Incumbent,Challenger
E14000563,Challenger,Incumbent,Challenger
E14000564,Challenger,Incumbent,Challenger
E14000565,Challenger,Incumbent,Challenger
E14000566,Challenger,Incumbent,Challenger
E14000567,Challenger,Incumbent,Challenger
E14000568,Challenger,Challenger,Incumbent
E14000569,Challenger,Incumbent,Challenger
E14000570,Challenger,Open,Challenger
E14000571,Challenger,Incumbent,Challenger
E14000572,Incumbent,Challenger,Challenger
E14000573,Challenger,Incumbent,Challenger
W07000072,Challenger,Incumbent,Challenger
E14000574,Challenger,Incumbent,Challenger
E14000575,Challenger,Incumbent,Challenger
E14000576,Incumbent,Challenger,Challenger
E14000577,Challenger,Incumbent,Challenger
E14000578,Challenger,Incumbent,Challenger
E14000579,Challenger,Incumbent,Challenger
E14000580,Challenger,Incumbent,Challenger
E14000581,Challenger,Open,Challenger
E14000582,Open,Challenger,Challenger
E14000583,Incumbent,Challenger,Challenger
E14000584,Incumbent,Challenger,Challenger
E14000585,Incumbent,Challenger,Challenger
E14000586,Incumbent,Challenger,Challenger
E14000587,Challenger,Challenger,Incumbent
E14000588,Challenger,Open,Challenger
E14000589,Challenger,Incumbent,Challenger
E14000590,Open,Challenger,Challenger
W07000068,Challenger,Challenger,Incumbent
E14000591,Challenger,Challenger,Open
E14000592,Challenger,Incumbent,Challenger
E14000593,Incumbent,Challenger,Challenger
E14000594,Incumbent,Challenger,Challenger
W07000073,Challenger,Incumbent,Challenger
E14000595,Incumbent,Challenger,Challenger
E14000596,Incumbent,Challenger,Challenger
E14000597,Incumbent,Challenger,Challenger
E14000598,Challenger,Challenger,Challenger
E14000599,Challenger,Incumbent,Challenger
E14000600,Incumbent,Challenger,Challenger
E14000601,Challenger,Open,Challenger
E14000602,Challenger,Challenger,Incumbent
E14000603,Incumbent,Challenger,Challenger
